"Company name","ASX code","GICS industry group","Price","High","Low","Change","Volume"
"ARGO INVESTMENTS LIMITED","ARG","Not Applic","7.7900","7.7900","7.7800","0.0101","1752"
"ARGONAUT RESOURCES NL","ARE","Materials","0.0140","0.0140","0.0140","0.0000","100000"
"ARGOSY MINERALS LIMITED","AGY","Materials","0.2950","0.3200","0.2950","0.0051","1933013"
"ARIADNE AUSTRALIA LIMITED","ARA","Commercial & Professional Services","0.7700","0.7700","0.7700","0.0102","6247"
"ARISTOCRAT LEISURE LIMITED","ALL","Consumer Services","20.9600","21.0300","20.9550","0.0105","564334"
"ARK MINES LIMITED","AHK","Materials","0.0800","0.0800","0.0800","-0.0047","13500"
"ARMOUR ENERGY LIMITED","AJQ","Energy","0.0860","0.0870","0.0860","0.0020","50000"
"AROWANA AUSTRALASIAN VALUE OPPORTUNITIES FUND LIMITED","AWQ","Not Applic","0.9900","0.9900","0.9900","0.0000","10000"
"AROWANA INTERNATIONAL LIMITED","AWN","Capital Goods","0.4650","0.4700","0.4650","0.0000","5264"
"ARROWHEAD RESOURCES LIMITED","AR1","Materials","0.0120","0.0120","0.0120","0.0024","62314"
"ARTEMIS RESOURCES LIMITED","ARV","Materials","0.2500","0.2500","0.2400","0.0030","1806841"
"ARUMA RESOURCES LIMITED","AAJ","Materials","0.0080","0.0080","0.0080","0.0000","60000"
"ASALEO CARE LIMITED","AHY","Household & Personal Products","1.5470","1.5520","1.5350","0.0000","410291"
"ASAPLUS RESOURCES LIMITED","AJY","Materials",,"0.1200","0.1200","0.0000","40000"
"ASF GROUP LIMITED","AFA","Diversified Financials","0.1800","0.1800","0.1800","0.0000","15313"
"ASHLEY SERVICES GROUP LIMITED","ASH","Commercial & Professional Services","0.1300","0.1300","0.1300","-0.0048","14000"
"ASIA PACIFIC DATA CENTRE GROUP","AJD","Real Estate","1.9500","1.9500","1.9500","0.0000","131102"
"ASIA PACIFIC DIGITAL LIMITED","DIG","Media","0.1600","0.1600","0.1600","0.0000","528"
"ASIAN AMERICAN MEDICAL GROUP LIMITED","AJJ","Health Care Equipment & Services","0.1050","0.1050","0.1050","0.0000","322000"
"ASIAN DEVELOPMENT BANK","ATB","Not Applic",,"","","",""
"ASIAN MASTERS FUND LIMITED","AUF","Diversified Financials","1.3000","1.3000","1.3000","0.0101","41159"
"ASIAN MINERAL RESOURCES LIMITED","AM3","Class Pend",,"","","",""
"ASK FUNDING LIMITED","AKF","Diversified Financials",,"0.0560","0.0550","","1198"
"ASPEN GROUP","APZ","Real Estate","1.0700","1.0750","1.0700","0.0000","14355"
"ASPERMONT LIMITED.","ASP","Media","0.0100","0.0100","0.0100","-0.0009","42000"
"ASPIRE MINING LIMITED","AKM","Materials","0.0200","0.0200","0.0200","0.0011","343485"
"ASSEMBLEBAY LIMITED","ASY","Software & Services",,"","","",""
"ASSETOWL LIMITED","AO1","Software & Services","0.1800","0.1800","0.1800","0.0290","6997"
"ASTIVITA LIMITED","AIR","Capital Goods","0.0250","0.0250","0.0240","-0.0034","60000"
"ASTRO JAPAN PROPERTY GROUP","AJA","Real Estate",,"7.2600","7.2400","0.0000","15469"
"ASTRO RESOURCES NL","ARO","Materials","0.0030","0.0030","0.0030","0.0015","1000000"
"ASTRON CORPORATION LIMITED","ATR","Materials","0.1900","0.1900","0.1900","0.0000","19500"
"ASX LIMITED","ASX","Diversified Financials","52.5200","52.5800","52.4600","0.0683","54635"
"ATC ALLOYS LTD","ATA","Materials",,"","","",""
"ATCOR MEDICAL HOLDINGS LIMITED","ACG","Health Care Equipment & Services","0.0290","0.0290","0.0290","0.0000","16462"
"ATHENA RESOURCES LIMITED","AHN","Materials","0.0320","0.0320","0.0320","0.0000","17200"
"ATLAS IRON LIMITED","AGO","Materials","0.0170","0.0170","0.0170","0.0000","232713"
"ATLAS PEARLS AND PERFUMES LTD","ATP","Consumer Durables & Apparel","0.0270","0.0270","0.0270","-0.0010","40000"
"ATRUM COAL LIMITED","ATU","Materials","0.2000","0.2000","0.2000","0.0222","4000"
"AUB GROUP LIMITED","AUB","Insurance","12.9350","12.9400","12.8100","0.0750","30727"
"AUCKLAND INTERNATIONAL AIRPORT LIMITED","AIA","Transportation","5.9300","6.0400","5.9200","-0.0202","16829"
"AUDALIA RESOURCES LIMITED","ACP","Materials","0.0130","0.0130","0.0130","-0.0017","400000"
"AUDINATE GROUP LIMITED","AD8","Technology Hardware & Equipment",,"","","",""
"AUDIO PIXELS HOLDINGS LIMITED","AKP","Consumer Durables & Apparel","20.7000","21.1800","20.5000","-0.2960","2409"
"AUGEND LTD","AUG","Energy",,"","","",""
"AUKING MINING LIMITED","AKN","Materials","0.0060","0.0060","0.0060","0.0000","5250"
"AURA ENERGY LIMITED","AEE","Energy","0.0250","0.0250","0.0250","0.0000","40278"
"AURELIA METALS LIMITED","AMI","Materials","0.2550","0.2550","0.2500","0.0000","9031"
"AURIS MINERALS LIMITED","AUR","Materials","0.0760","0.0760","0.0760","0.0000","239310"
"AURIZON HOLDINGS LIMITED","AZJ","Transportation","4.8900","4.8900","4.8700","0.0049","1070163"
"AUROCH MINERALS LTD","AOU","Materials","0.1900","0.1900","0.1900","0.0223","994"
"AURORA ABSOLUTE RETURN FUND","ABW","Not Applic","0.4050","0.4050","0.4050","-0.0235","27597"
"AURORA DIVIDEND INCOME TRUST (MANAGED FUND)","AOD","Not Applic","0.6300","0.6300","0.6300","0.0050","6937"
"AURORA GLOBAL INCOME TRUST","AIB","Diversified Financials","0.5000","0.5000","0.5000","0.0265","27672"
"AURORA LABS LIMITED","A3D","Capital Goods","0.5950","0.5950","0.5950","0.0000","647"
"AURORA MINERALS LIMITED","ARM","Materials","0.0430","0.0430","0.0420","-0.0060","21930"
"AURORA PROPERTY BUY-WRITE INCOME TRUST","AUP","Not Applic","4.5000","4.5000","4.5000","0.0000","120"
"AUS ASIA MINERALS LIMITED","AQJ","Energy",,"","","",""
"AUS TIN MINING LTD","ANW","Materials","0.0080","0.0080","0.0080","0.0000","25000"
"AUSCANN GROUP HOLDINGS LTD","AC8","Pharmaceuticals, Biotechnology & Life Sciences","0.4550","0.4550","0.4500","-0.0050","112153"
"AUSDRILL LIMITED","ASL","Materials","2.0200","2.0300","2.0100","0.0101","113174"
"AUSGOLD LIMITED","AUC","Materials","0.0280","0.0280","0.0280","0.0000","3572"
"AUSMEX MINING GROUP LIMITED","AMG","Materials","0.0600","0.0600","0.0600","0.0106","100000"
"AUSMON RESOURCES LIMITED","AOA","Materials","0.0050","0.0050","0.0050","0.0000","50000"
"AUSNET FINANCIAL SERVICES LIMITED","AU1","Real Estate","0.0190","0.0190","0.0190","0.0000","81578"
"AUSNET SERVICES HOLDINGS PTY LTD","ANV","Not Applic",,"","","",""
"AUSNET SERVICES LIMITED","AST","Utilities","1.6970","1.7020","1.6920","0.0000","1010883"
"AUSQUEST LIMITED","AQD","Materials","0.0180","0.0180","0.0180","0.0011","47696"
"AUSROC METALS LTD","ARK","Materials",,"","","",""
"AUSTAL LIMITED","ASB","Capital Goods","1.5420","1.5550","1.5350","0.0020","22577"
"AUSTCHINA HOLDINGS LIMITED","AUH","Energy","0.0090","0.0090","0.0090","0.0011","2534"
"AUSTEX OIL LIMITED","AOK","Energy","0.0160","0.0160","0.0160","0.0011","85000"
"AUSTIN ENGINEERING LIMITED","ANG","Capital Goods","0.2200","0.2200","0.2200","-0.0049","8000"
"AUSTOCK GROUP LIMITED","ACK","Insurance","0.9700","0.9700","0.9700","-0.0196","520"
"AUSTPAC RESOURCES NL","APG","Materials","0.0080","0.0080","0.0080","0.0000","1062382"
"AUSTRAL GOLD LIMITED","AGD","Materials","0.1450","0.1450","0.1450","0.0000","34488"
"AUSTRALASIAN RESOURCES LIMITED","ARH","Materials",,"","","",""
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","ANZ","Banks","29.7300","29.7300","29.5500","0.0714","624301"
"AUSTRALIA UNITED MINING LIMITED","AYM","Materials","0.0020","0.0020","0.0020","0.0000","10000"
"AUSTRALIA WETOUCH TECHNOLOGY LIMITED","AWT","Class Pend",,"","","",""
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","AAC","Food, Beverage & Tobacco","1.5450","1.5500","1.5350","0.0100","278068"
"AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","AAP","Food, Beverage & Tobacco",,"0.0250","0.0250","0.0000","50000"
"AUSTRALIAN BAUXITE LIMITED.","ABX","Materials","0.1450","0.1450","0.1450","0.0000","774"
"AUSTRALIAN CAREERS NETWORK LIMITED","ACO","Consumer Services",,"","","",""
"AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS","XCL","Not Applic",,"","","",""
"AUSTRALIAN DAIRY FARMS GROUP","AHF","Food, Beverage & Tobacco","0.1250","0.1250","0.1250","0.0052","50000"
"AUSTRALIAN ENHANCED INCOME FUND","AYF","Not Applic","6.1000","6.1000","6.1000","-0.1464","2000"
"AUSTRALIAN ETHICAL INVESTMENT LIMITED","AEF","Diversified Financials","122.7000","122.7000","122.7000","0.1963","50"
"AUSTRALIAN FINANCE GROUP LTD","AFG","Banks","1.7250","1.7400","1.7000","0.0081","71733"
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","AFI","Not Applic","5.8400","5.8400","5.8000","0.0199","50313"
"AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED","AQF","Diversified Financials","1.9400","1.9400","1.9400","0.0619","12887"
"AUSTRALIAN GOVERNMENT TREASURY BONDS","GSB","Not Applic",,"","","",""
"AUSTRALIAN GOVERNMENT TREASURY INDEXED BONDS","GSI","Not Applic",,"","","",""
"AUSTRALIAN LEADERS FUND LIMITED","ALF","Diversified Financials","1.1500","1.1500","1.1500","0.0000","9500"
"AUSTRALIAN MASTERS YIELD FUND NO 3 LIMITED","AYJ","Not Applic",,"","","",""
"AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED","AYK","Not Applic",,"","","",""
"AUSTRALIAN MASTERS YIELD FUND NO 5 LIMITED","AYZ","Not Applic",,"","","",""
"AUSTRALIAN MINES LIMITED","AUZ","Materials","0.0150","0.0150","0.0150","0.0000","1625000"
"AUSTRALIAN PACIFIC COAL LIMITED","AQC","Materials","0.0100","0.0100","0.0100","0.0000","290710"
"AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED","API","Health Care Equipment & Services","1.5000","1.5020","1.4850","0.0081","390501"
"AUSTRALIAN POTASH LIMITED","APC","Materials","0.1000","0.1000","0.0990","0.0010","15789"
"AUSTRALIAN RURAL CAPITAL LIMITED","ARC","Diversified Financials","0.6500","0.6500","0.6500","0.0000","200000"
"AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","AUI","Diversified Financials","8.2600","8.2600","8.2600","0.0099","4843"
"AUSTRALIAN UNITY LIMITED","AYU","Not Applic",,"","","",""
"AUSTRALIAN UNITY OFFICE FUND","AOF","Real Estate","2.2900","2.2900","2.2900","0.0000","852"
"AUSTRALIAN VANADIUM LIMITED","AVL","Materials","0.0140","0.0140","0.0140","0.0000","733151"
"AUSTRALIAN VINTAGE LTD","AVG","Food, Beverage & Tobacco","0.4300","0.4300","0.4300","0.0000","400"
"AUSTRALIAN WHISKY HOLDINGS LIMITED","AWY","Food, Beverage & Tobacco","0.0350","0.0350","0.0350","0.0058","278988"
"AUSTRALIS OIL & GAS LIMITED","ATS","Energy","0.2050","0.2050","0.2000","0.0000","130001"
"AUSTSINO RESOURCES GROUP LIMITED","ANS","Materials",,"","","",""
"AUSWIDE BANK LTD","ABA","Banks","5.1800","5.2500","5.1800","-0.0399","4998"
"AUTHORISED INVESTMENT FUND LIMITED","AIY","Not Applic",,"0.0090","0.0090","0.0000","410000"
"AUTOMOTIVE HOLDINGS GROUP LIMITED.","AHG","Retailing","3.3100","3.3250","3.2900","0.0000","192131"
