"Company name","ASX code","GICS industry group","Price","High","Low","Change","Volume"
"CLINUVEL PHARMACEUTICALS LIMITED","CUV","Pharmaceuticals, Biotechnology & Life Sciences","6.8100","6.8700","6.8000","0.0102","1422"
"CLOVER CORPORATION LIMITED","CLV","Health Care Equipment & Services","0.4400","0.4450","0.4400","0.0000","48486"
"CMI LIMITED.","CMI","Capital Goods","1.2400","1.2400","1.2400","0.0100","800"
"CML GROUP LIMITED","CGR","Commercial & Professional Services","0.3750","0.3750","0.3750","0.0103","27000"
"COAL OF AFRICA LIMITED","CZA","Energy","0.0450","0.0450","0.0450","0.0000","81296"
"COASSETS LIMITED.","CA8","Software & Services","0.2100","0.2100","0.2000","-0.0183","10000"
"COBALT BLUE HOLDINGS LIMITED","COB","Materials","0.1800","0.1800","0.1800","-0.0049","16800"
"COBALT ONE LIMITED","CO1","Materials","0.1300","0.1400","0.1300","0.0000","724693"
"COCA-COLA AMATIL LIMITED","CCL","Food, Beverage & Tobacco","7.7350","7.7500","7.7150","-0.0101","748507"
"COCHLEAR LIMITED","COH","Health Care Equipment & Services","162.9100","163.1000","162.7100","-0.0977","37762"
"CODAN LIMITED","CDA","Technology Hardware & Equipment","2.3900","2.4000","2.3500","-0.0249","8491"
"COGSTATE LTD","CGS","Health Care Equipment & Services","0.9800","0.9800","0.9800","0.0050","600"
"COHIBA MINERALS LIMITED","CHK","Materials","0.0130","0.0130","0.0130","0.0011","718672"
"COKAL LIMITED","CKA","Materials","0.0740","0.0750","0.0720","-0.0010","180000"
"COLLABORATE CORPORATION LIMITED","CL8","Software & Services","0.0360","0.0360","0.0360","0.0000","126755"
"COLLECTION HOUSE LIMITED","CLH","Commercial & Professional Services","1.3350","1.3500","1.3350","0.0031","107953"
"COLLERINA COBALT LIMITED","CLL","Materials","0.0450","0.0450","0.0450","0.0000","100000"
"COLLINS FOODS LIMITED","CKF","Consumer Services","6.0050","6.0200","5.9500","0.0456","39215"
"COMET RESOURCES LIMITED","CRL","Materials","0.0600","0.0600","0.0600","0.0000","9000"
"COMET RIDGE LIMITED","COI","Energy","0.2000","0.2000","0.2000","0.0051","427376"
"COMMONWEALTH BANK OF AUSTRALIA.","CBA","Banks","76.1050","76.2800","76.0800","0.0837","505328"
"COMOPS LIMITED","COM","Software & Services","0.0110","0.0110","0.0110","0.0011","425000"
"COMPAGNIE DE FINANCEMENT FONCIER","CFF","Not Applic",,"","","",""
"COMPUMEDICS LIMITED","CMP","Health Care Equipment & Services","0.3500","0.3500","0.3500","0.0103","1500"
"COMPUTERSHARE LIMITED.","CPU","Software & Services","14.4100","14.4700","14.4100","0.0043","116413"
"CONDOR BLANCO MINES LIMITED","CDB","Materials",,"","","",""
"CONICO LTD","CNJ","Materials","0.0380","0.0380","0.0370","0.0010","243867"
"CONNECTED IO LIMITED","CIO","Technology Hardware & Equipment",,"","","",""
"CONNEXION MEDIA LIMITED","CXZ","Commercial & Professional Services","0.0170","0.0170","0.0170","0.0011","32800"
"CONSOLIDATED OPERATIONS GROUP LIMITED","COG","Not Applic","0.1100","0.1100","0.1100","0.0000","10000"
"CONSOLIDATED TIN MINES LIMITED","CSD","Materials",,"","","",""
"CONSOLIDATED ZINC LIMITED","CZL","Materials","0.0180","0.0180","0.0180","-0.0009","47045"
"CONTACT ENERGY LIMITED","CEN","Utilities",,"","","",""
"CONTANGO ASSET MANAGEMENT LIMITED","CGA","Diversified Financials","0.9750","0.9750","0.9750","-0.0244","3500"
"CONTANGO GLOBAL GROWTH LIMITED","CQG","Class Pend","1.0700","1.0700","1.0200","0.0415","11000"
"CONTANGO INCOME GENERATOR  LIMITED","CIE","Not Applic","0.9900","0.9900","0.9900","0.0000","54860"
"CONTANGO MICROCAP LIMITED","CTN","Diversified Financials","0.9200","0.9200","0.9200","0.0051","27000"
"CONVENIENCE RETAIL REIT","CRR","Real Estate","2.8500","2.8600","2.8400","0.0000","54301"
"COOPER ENERGY LIMITED","COE","Energy","0.2750","0.2800","0.2750","-0.0020","260213"
"COPPER STRIKE LIMITED","CSE","Materials","0.3200","0.3200","0.3200","0.0271","1593"
"COPPERMOLY LIMITED","COY","Materials","0.0150","0.0150","0.0150","0.0000","46428"
"CORAZON MINING LIMITED","CZN","Materials","0.0230","0.0230","0.0230","0.0000","100000"
"CORE EXPLORATION LIMITED","CXO","Materials","0.0490","0.0500","0.0490","0.0010","889441"
"CORIZON LIMITED","CIZ","Materials",,"","","",""
"CORPORATE TRAVEL MANAGEMENT LIMITED","CTD","Consumer Services","22.1000","22.1400","22.0600","0.0199","27524"
"CORUM GROUP LIMITED","COO","Software & Services","0.0400","0.0400","0.0400","0.0000","245000"
"COSTA GROUP HOLDINGS LIMITED","CGC","Food, Beverage & Tobacco","5.4600","5.4700","5.4500","0.0000","73333"
"COUGAR METALS NL","CGM","Materials","0.0170","0.0170","0.0170","0.0000","90000"
"COUNTPLUS LIMITED","CUP","Commercial & Professional Services","0.6450","0.6450","0.6450","0.0050","18000"
"COUNTY INTERNATIONAL LIMITED","CCJ","Energy","0.0090","0.0090","0.0090","0.0000","200000"
"COVATA LIMITED","CVT","Software & Services","0.0560","0.0560","0.0550","0.0000","52138"
"COVENTRY GROUP LIMITED","CYG","Capital Goods","1.0950","1.1200","1.0950","0.0000","6364"
"COVENTRY RESOURCES LIMITED.","CYY","Materials",,"0.1100","0.1000","0.0052","846174"
"COZIRON RESOURCES LIMITED","CZR","Materials","0.0200","0.0200","0.0200","-0.0010","371044"
"CPT GLOBAL LIMITED","CGO","Software & Services","0.1600","0.1600","0.1600","0.0000","2000"
"CRADLE RESOURCES LIMITED","CXX","Materials","0.1200","0.1200","0.1200","0.0000","52122"
"CRATER GOLD MINING LIMITED","CGN","Materials","0.0080","0.0080","0.0080","0.0000","258539"
"CRE8TEK LIMITED","CR8","Software & Services","0.0720","0.0720","0.0690","0.0000","1333781"
"CREDIT CORP GROUP LIMITED","CCP","Diversified Financials","18.9300","19.0000","18.9000","0.0000","32219"
"CRESO PHARMA LIMITED","CPH","Pharmaceuticals, Biotechnology & Life Sciences","0.5600","0.5600","0.5450","0.0030","155820"
"CROMWELL PROPERTY GROUP","CMW","Real Estate","0.9650","0.9700","0.9650","0.0000","68988"
"CROPLOGIC LIMITED","CLI","Class Pend",,"","","",""
"CROSSLAND STRATEGIC METALS LTD","CUX","Materials","0.0060","0.0060","0.0060","0.0000","100000"
"CROWD MOBILE LIMITED","CM8","Media","0.2300","0.2300","0.2300","0.0000","148334"
"CROWN RESORTS LIMITED","CWN","Consumer Services","11.2250","11.2550","11.2200","0.0550","122202"
"CRUSADE ABS SERIES 2013-1 TRUST","CUF","Not Applic",,"","","",""
"CRUSADE ABS SERIES 2015-1 TRUST","CUH","Not Applic",,"","","",""
"CRUSADE ABS SERIES 2016-1 TRUST","CU1","Not Applic",,"","","",""
"CRUSADE ABS SERIES 2017-1 TRUST","CU2","Not Applic",,"","","",""
"CRUSADER RESOURCES LIMITED","CAS","Materials","0.0980","0.0980","0.0980","0.0000","56120"
"CRYOSITE LIMITED","CTE","Pharmaceuticals, Biotechnology & Life Sciences","0.1500","0.1500","0.1500","0.0000","8143"
"CSG LIMITED","CSV","Software & Services","0.5200","0.5250","0.5100","0.0050","84513"
"CSL LIMITED","CSL","Pharmaceuticals, Biotechnology & Life Sciences","134.4700","134.7900","134.4300","-0.4438","65251"
"CSR LIMITED","CSR","Materials","4.7100","4.7200","4.6950","-0.0151","820282"
"CTI LOGISTICS LIMITED","CLX","Transportation","0.9500","0.9500","0.9500","0.0101","168538"
"CTL AUSTRALIA GROUP LIMITED","CIT","Class Pend",,"","","",""
"CUDECO LIMITED","CDU","Materials","0.3600","0.3700","0.3600","0.0051","4172"
"CUE ENERGY RESOURCES LIMITED","CUE","Energy","0.0570","0.0620","0.0570","0.0000","455997"
"CULLEN RESOURCES LIMITED","CUL","Materials","0.0010","0.0010","0.0010","-0.0005","1249988"
"CV CHECK LTD","CV1","Software & Services","0.0990","0.0990","0.0990","-0.0010","12334"
"CVC LIMITED","CVC","Diversified Financials","2.2400","2.2400","2.2400","0.0000","1258"
"CWH RESOURCES LTD","CWH","Materials",,"","","",""
"CYBG PLC","CYB","Banks",,"","","",""
"CYCLIQ GROUP LTD","CYQ","Software & Services",,"","","",""
"CYCLOPHARM LIMITED","CYC","Health Care Equipment & Services","0.8000","0.8050","0.8000","0.0000","4000"
"CYNATA THERAPEUTICS LIMITED","CYP","Pharmaceuticals, Biotechnology & Life Sciences","0.6400","0.6500","0.6300","-0.0099","13313"
"DACIAN GOLD LIMITED","DCN","Materials","2.0100","2.0150","2.0000","0.0000","45691"
"DAMPIER GOLD LIMITED","DAU","Materials","0.0380","0.0380","0.0380","-0.0010","7600"
"DANAKALI LIMITED","DNK","Materials","0.7000","0.7150","0.7000","-0.0050","4582"
"DARK HORSE RESOURCES LIMITED","DHR","Materials","0.0080","0.0080","0.0080","0.0000","493131"
"DART MINING NL","DTM","Materials","0.0070","0.0070","0.0070","0.0000","626709"
"DATA#3 LIMITED","DTL","Software & Services","1.7650","1.7900","1.7620","0.0101","46845"
"DATADOT TECHNOLOGY LIMITED","DDT","Automobiles & Components","0.0060","0.0060","0.0060","0.0000","100000"
"DATELINE RESOURCES LIMITED","DTR","Materials","0.0210","0.0210","0.0200","0.0011","450000"
"DAVENPORT RESOURCES LIMITED","DAV","Materials","0.1200","0.1200","0.1200","-0.0171","125735"
"DAWINE LTD","DW8","Food, Beverage & Tobacco","0.0100","0.0100","0.0100","-0.0009","18282"
"DE GREY MINING LIMITED","DEG","Materials","0.2250","0.2250","0.2250","0.0000","153835"
"DE.MEM LIMITED","DEM","Utilities","0.3200","0.3200","0.3200","0.0000","8959"
"DECIMAL SOFTWARE LIMITED","DSX","Software & Services","0.0330","0.0330","0.0330","0.0010","30000"
"DECMIL GROUP LIMITED","DCG","Capital Goods","1.2400","1.2500","1.2300","0.0151","36307"
"DEEP YELLOW LIMITED","DYL","Energy","0.2100","0.2100","0.2100","-0.0049","300"
"DELECTA LIMITED","DLC","Retailing","0.0040","0.0040","0.0040","-0.0008","4430"
"DELTA SBD LIMITED","DSB","Materials",,"","","",""
"DEMPSEY MINERALS LIMITED","DMI","Materials","0.0610","0.0610","0.0610","-0.0010","200000"
"DEPARTMENT 13 INTERNATIONAL LTD","D13","Capital Goods","0.1050","0.1150","0.1050","0.0000","493302"
"DESANE GROUP HOLDINGS LIMITED","DGH","Real Estate","1.2600","1.2600","1.2600","0.0000","1402"
"DEVINE LIMITED","DVN","Real Estate","0.3700","0.3700","0.3700","-0.0049","1105"
"DEXUS","DXS","Real Estate","9.3450","9.3600","9.3350","-0.0103","197070"
"DGO GOLD LIMITED","DGO","Materials","1.7700","1.7700","1.7700","0.0000","1756"
"DGR GLOBAL LIMITED","DGR","Materials","0.1250","0.1250","0.1200","0.0000","52147"
"DIATREME RESOURCES LIMITED","DRX","Materials","0.0130","0.0130","0.0130","-0.0017","61855"
"DICKER DATA LIMITED","DDR","Technology Hardware & Equipment","2.5700","2.5800","2.5400","0.0100","5301"
"DIGIMATIC GROUP LIMITED","DMC","Software & Services","0.0340","0.0350","0.0340","-0.0010","125000"
"DIGITALX LIMITED","DCC","Software & Services","0.0550","0.0560","0.0550","0.0000","271339"
"DIMERIX LIMITED","DXB","Pharmaceuticals, Biotechnology & Life Sciences",,"","","",""
"DING SHENG XIN FINANCE CO. LIMITED","DXF","Diversified Financials",,"0.0500","0.0500","0.0000","89220"
"DIPLOMA GROUP LIMITED","DGX","Capital Goods",,"","","",""
"DIRECTMONEY LIMITED","DM1","Diversified Financials","0.0320","0.0320","0.0320","-0.0010","408650"
"DISCOVERY AFRICA LIMITED","DAF","Materials","0.0110","0.0110","0.0110","0.0000","7000"
"DIVERSIFIED UNITED INVESTMENT LIMITED","DUI","Diversified Financials","3.8300","3.8300","3.8300","0.0100","10432"
"DJERRIWARRH INVESTMENTS LIMITED","DJW","Diversified Financials","3.4600","3.4600","3.4500","-0.0100","17327"
"DOMACOM LIMITED","DCL","Diversified Financials","0.1150","0.1150","0.1050","0.0109","48550"
"DOME GOLD MINES LIMITED","DME","Materials",,"0.2200","0.2200","0.0000","2500"
"DOMINO'S PIZZA ENTERPRISES LIMITED","DMP","Consumer Services","45.4700","45.5500","45.4000","0.0091","42307"
"DONACO INTERNATIONAL LIMITED","DNA","Consumer Services","0.4400","0.4400","0.4400","0.0000","25364"
"DONGFANG MODERN AGRICULTURE HOLDING GROUP LIMITED","DFM","Food, Beverage & Tobacco","0.7700","0.7700","0.7700","0.0050","3743"
"DORAY MINERALS LIMITED","DRM","Materials","0.1750","0.1800","0.1750","-0.0049","361185"
"DORSAVI LTD","DVL","Pharmaceuticals, Biotechnology & Life Sciences","0.2950","0.2950","0.2950","0.0000","5750"
"DOTZ NANO LIMITED","DTZ","Semiconductors & Semiconductor Equipment","0.1450","0.1500","0.1450","-0.0048","9278"
"DOWNER EDI LIMITED","DOW","Commercial & Professional Services","6.7700","6.7800","6.7600","-0.0047","294345"
"DRAGON MINING LIMITED","DRA","Materials","0.2350","0.2350","0.2350","0.0051","100000"
"DRAGON MOUNTAIN GOLD LIMITED","DMG","Materials",,"0.0090","0.0090","0.0000","397783"
"DRAGONTAIL SYSTEMS LIMITED","DTS","Software & Services","0.2050","0.2050","0.1950","0.0000","83712"
"DRAIG RESOURCES LIMITED","DRG","Materials",,"","","",""
"DRAKE RESOURCES LIMITED","DRK","Materials",,"","","",""
"DREAMSCAPE NETWORKS LIMITED","DN8","Software & Services","0.2150","0.2150","0.2100","0.0000","200000"
"DRIVER AUSTRALIA FOUR TRUST","DAZ","Not Applic",,"","","",""
"DRIVER AUSTRALIA MASTER TRUST","DAM","Not Applic",,"","","",""
"DRIVER AUSTRALIA THREE TRUST","DAE","Not Applic",,"","","",""
"DRIVER AUSTRALIA TWO TRUST","DAQ","Not Applic",,"","","",""
"DRONESHIELD LIMITED","DRO","Technology Hardware & Equipment","0.1950","0.1950","0.1950","-0.0049","44594"
"DROPSUITE LIMITED","DSE","Software & Services","0.0760","0.0760","0.0760","-0.0029","22000"
"DTI GROUP LTD","DTI","Technology Hardware & Equipment","0.1350","0.1350","0.1350","-0.0048","22445"
"DUBBER CORPORATION LIMITED","DUB","Software & Services","0.3350","0.3350","0.3350","-0.0049","1600"
"DUKETON MINING LIMITED","DKM","Materials","0.1250","0.1300","0.1250","0.0000","20000"
"DULUXGROUP LIMITED","DLX","Materials","6.8700","6.9150","6.8600","0.0000","332448"
"DUXTON WATER LIMITED","D2O","Utilities","1.0350","1.0350","1.0350","0.0000","32"
"DWS LIMITED","DWS","Software & Services","1.3800","1.3850","1.3800","0.0000","11000"
"DYNASTY RESOURCES LIMITED","DMA","Materials",,"","","",""
"E2 METALS LIMITED","E2M","Materials","0.1350","0.1350","0.1300","0.0052","100000"
"EAGLE HEALTH HOLDINGS LIMITED","EHH","Household & Personal Products",,"","","",""
"EAST ENERGY RESOURCES LIMITED","EER","Energy",,"0.0080","0.0080","0.0000","78557"
"EAST WEST ENERGY LIMITED","EWE","Energy",,"","","",""
"EASTERN GOLDFIELDS LIMITED","EGS","Materials",,"0.2400","0.2400","0.0000","73358"
"EASTERN IRON LIMITED","EFE","Materials","0.0100","0.0100","0.0100","-0.0009","8800"
"EASTON INVESTMENTS LIMITED","EAS","Diversified Financials","1.1800","1.1800","1.1800","0.0414","2500"
"EBOS GROUP LIMITED","EBO","Health Care Equipment & Services",,"","","",""
"ECARGO HOLDINGS LIMITED","ECG","Commercial & Professional Services","0.0510","0.0510","0.0510","0.0000","6000"
"ECHO RESOURCES LIMITED","EAR","Materials","0.2200","0.2200","0.2200","0.0000","310000"
"ECLIPSE METALS LIMITED.","EPM","Energy","0.0050","0.0050","0.0050","0.0000","100000"
"ECLIPX GROUP LIMITED","ECX","Diversified Financials","4.1000","4.1000","4.0800","0.0098","233271"
